Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
41760,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,traversii,"(Gray, 1874)",,,,,"","Bahamondi's Beaked Whale, Spade-toothed Whale, Traver's Beaked Whale","Mésoplodon De Bahamonde, Mésoplodon De Travers","Zifio De Bahamonde, Zifio De Travers",DD,,3.1,2008,unknown,N
13581,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Mirounga,angustirostris,"(Gill, 1866)",,,,,"",Northern Elephant Seal,,,LC,,3.1,2008,increasing,N
13583,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Mirounga,leonina,"(Linnaeus, 1758)",,,,,"","South Atlantic Elephant-seal, Southern Elephant-seal, Southern Elephant Seal","Eléphant De Mer Du Sud, Eléphant De Mer Méridional",Elefante Marino Del Sur,LC,,3.1,2008,unknown,N
13653,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Monachus,monachus,"(Hermann, 1779)",,,,,"",Mediterranean Monk Seal,Phoque-moine Méditerranéen,FOCA MONJE,CR,A2abc; C2a(i); E,3.1,2008,decreasing,N
13654,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Monachus,schauinslandi,"Matschie, 1905",,,,,"",Hawaiian Monk Seal,,Foca Fraile De Hawaii,CR,A3ce+4ce,3.1,2008,decreasing,N
13655,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Monachus,tropicalis,"(Gray, 1850)",,,,,"","Caribbean Monk Seal, West Indian Monk Seal, West Indian Seal",,Foca Fraile Del Caribe,EX,,3.1,2008,,N
13704,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,MONODONTIDAE,Monodon,monoceros,"Linnaeus, 1758",,,,,"","Narwhal, Unicorn Whale",Narval,Narval,NT,,3.1,2008,unknown,N
14549,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Neophoca,cinerea,"(Péron, 1816)",,,,,"","Australian Sealion, Australian Sea Lion",,,EN,A2bd+3d,3.1,2008,decreasing,N
41754,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Neophocaena,asiaeorientalis,"(Pilleri & Gihr, 1972)",,,,,"","Finless Porpoise, Narrow-ridged Finless Porpoise",Marsouin Aptère,Marsopa Lisa,VU,A2cde,3.1,2011,decreasing,N
198920,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Neophocaena,phocaenoides,"(G. Cuvier, 1829)",,,,,"",Indo-Pacific Finless Porpoise,,,VU,A2cde,3.1,2011,decreasing,N
40784,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Neovison,macrodon,"(Prentis, 1903)",,,,,"",Sea Mink,,,EX,,3.1,2008,,N
15106,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,ODOBENIDAE,Odobenus,rosmarus,"(Linnaeus, 1758)",,,,,"",Walrus,Morse,MORSA,DD,,3.1,2008,unknown,N
15269,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Ommatophoca,rossii,"(Gray, 1844)",,,,,"",Ross Seal,,,LC,,3.1,2008,unknown,N
