"","Order","Family","Species","Occurrence","FishBase name","Name","Use","Use elsewhere","Country"
"7134","Perciformes","Scaridae","Chlorurus enneacanthus","native","Captain parrotfish","","commercial","commercial","Mauritius"
"8120","Perciformes","Scaridae","Chlorurus sordidus","native","Daisy parrotfish","Cateau vert","commercial","commercial","Mauritius"
"9119","Perciformes","Carangidae","Elagatis bipinnulata","native","Rainbow runner","Carangue arc-en-ciel","commercial","highly commercial","Mauritius"
"10109","Perciformes","Serranidae","Epinephelus fasciatus","native","Blacktip grouper","Goujon","commercial","commercial","Mauritius"
"11100","Perciformes","Chaetodontidae","Heniochus acuminatus","native","Pennant coralfish","Cocher","commercial","minor commercial","Mauritius"
"1290","Perciformes","Scombridae","Katsuwonus pelamis","native","Skipjack tuna","Bonite à ventre rayé","commercial","highly commercial","Mauritius"
"1378","Perciformes","Scaridae","Leptoscarus vaigiensis","native","Marbled parrotfish","Cateau","commercial","commercial","Mauritius"
"1470","Perciformes","Lethrinidae","Lethrinus borbonicus","native","Snubnose emperor","","minor commercial","minor commercial","Mauritius"
"1560","Perciformes","Lethrinidae","Lethrinus mahsena","native","Sky emperor","Dame berri blanc","commercial","highly commercial","Mauritius"
"1660","Perciformes","Lethrinidae","Lethrinus variegatus","native","Slender emperor","Bec-de-cane tacheté","minor commercial","minor commercial","Mauritius"
"1759","Mugiliformes","Mugilidae","Moolgarda seheli","native","Bluespot mullet","Mulet à queue bleue","commercial","commercial","Mauritius"
"1854","Perciformes","Serranidae","Plectropomus punctatus","native","Marbled coralgrouper","Vieille babonne","commercial","commercial","Mauritius"
"1954","Perciformes","Priacanthidae","Priacanthus hamrur","native","Moontail bullseye","Fanal","commercial","minor commercial","Mauritius"
"2054","Scorpaeniformes","Scorpaenidae","Pterois volitans","questionable","Red lionfish","Laffe volant","commercial","commercial","Mauritius"
"21106","Perciformes","Scaridae","Scarus caudofasciatus","native","Redbarred parrotfish","","commercial","commercial","Mauritius"
"2275","Perciformes","Scaridae","Scarus ghobban","native","Blue-barred parrotfish","Perroquet à bord bleu","commercial","commercial","Mauritius"
"2344","Perciformes","Scombridae","Thunnus albacares","native","Yellowfin tuna","Thon à nageoires jaunes","minor commercial","highly commercial","Mauritius"
"2440","Perciformes","Scombridae","Thunnus obesus","native","Bigeye tuna","Thon aux gros yeux","minor commercial","highly commercial","Mauritius"
"2276","Rajiformes","Myliobatidae","Aetobatus narinari","native","Spotted eagle ray","Raya gavilán","minor commercial","minor commercial","Mexico"
"3196","Mugiliformes","Mugilidae","Agonostomus monticola","native","Mountain mullet","Lisa de rio","highly commercial","subsistence fisheries","Mexico"
"4165","Albuliformes","Albulidae","Albula vulpes","native","Bonefish","Macabí","minor commercial","minor commercial","Mexico"
