country,stock1990MT,stock2000MT,stock2005MT,stock2010MT,TperHa2010,change1990-2000MTyr,change2000-2005MTyr,change2005-2010MTyr,change1990-2000THaYr,chage2000-2005THaYr,change2005-2010THaYr
Uzbekistan,8,14,18,19,6,1,1,0,0,0,0
Turkmenistan,11,11,12,12,3,0,0,0,0,0,0
Eritrea,,,,,,,,,,,
Mayotte,,,,,,,,,,,
Eastern and Southern Africa,,,,,,,,,,,
Northern Africa,,,,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,
Togo,,,,,,,,,,
Western and Central Africa,,,,,,,,,,
Africa,,,,,,,,,,
Japan,1159,1381,1526,,,22,29,,0.9,1.1
East Asia,,,,,,,,,,
Maldives,,,,,,,,,,
Singapore,,,,,,,,,,
Timor-Leste,,,,,,,,,,
South and South-east Asia,,,,,,,,,,
Bahrain,,,,,,,,,,
Iraq,,,,,,,,,,
Kuwait,,,,,,,,,,
Occupied Palestinian Territory,,,,,,,,,,
Oman,,,,,,,,,,
Qatar,0,0,0,0,,0,0,0,,
Syrian Arab Republic,,,,,,,,,,
Western and Central Asia,,,,,,,,
Asia,,,,,,,,
Andorra,,,,,,,,
Faroe Islands,,,,,,,,
Gibraltar,0,0,0,0,,0,0,0
Guernsey,,,,,,,,
Holy See,0,0,0,0,,0,0,0
Isle of Man,,,,,,,,
Jersey,,,,,,,,
Monaco ,0,0,0,0,,0,0,0
San Marino,0,0,0,0,,0,0,0
Svalbard and Jan Mayen Islands,0,0,0,0,,0,0,0
Europe,,,,,,,,
Anguilla,,,,,,,,
Antigua and Barbuda,,,,,,,,
Aruba,,,,,,,,
Bahamas,,,,,,,,
Barbados,,,,,,,,
Bermuda,,,,,,,,
British Virgin Islands,,,,,,,,
Cayman Islands,,,,,,,,
Dominica,,,,,,,,
Montserrat,,,,,,,,
Netherlands Antilles,,,,,,,,
Saint Kitts and Nevis,,,,,,,,
Saint Lucia,,,,,,,,
Saint Martin (French part),,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,
Saint Barthélemy,0,0,0,0,,0,0,0
Turks and Caicos Islands,,,,,,,,
Caribbean,,,,,,,,
El Salvador,,,,,,,,
Central America,,,,,,,,,,
Greenland,,,,,,,,,,
Saint Pierre and Miquelon,,,,,,,,,,
North America,,,,,,,,,,
North and Central America,,,,,,,,,,
Australia,6724,6702,6641,,,-2,-12,,0,0
Cook Islands,,,,,,,,,,
Fiji,,,,,,,,,,
Kiribati,,,,,,,,,,
Nauru,0,0,0,0,,0,0,0,,
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Pitcairn,,,,,,,,,,
Samoa,,,,,,,,,,
Tokelau,0,0,0,0,,0,0,0,,
Tuvalu,,,,,,,,,,
Vanuatu,,,,,,,,
Wallis and Futuna Islands,,,,,,,,
Oceania,,,,,,,,
Ecuador,,,,,,,,
Falkland Islands (malvinas) *,0,0,0,0,,0,0,0
Paraguay,,,,,,,,
Uruguay,,,,,,,,
Venezuela (Bolivarian Republic of),,,,,,,,
South America,,,,,,,,
World,,,,,,,,
