id,group,order,family,genus,binomial,english,domesticated species,notes,Source
113,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius layardi,"New Hebrides Scrubfowl, Vanuatu Megapode, Vanuatu Scrubfowl",,,McGowan 2010
114,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius nicobariensis,"Nicobar Megapode, Nicobar Scrubfowl",,,McGowan 2010
115,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius pritchardii,"Nevafou Megapode, Niaufoou Scrubfowl, Polynesian Megapode, Polynesian Scrubfowl, Tongan Megapode",,,McGowan 2010
116,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius reinwardt,"Orange-footed Megapode, Orange-footed Scrubfowl, Scrubfowl",,,McGowan 2010
117,Birds,GALLIFORMES,MEGAPODIIDAE,Megapodius,Megapodius tenimberensis,Tanimbar Megapode,,,McGowan 2010
118,Birds,GALLIFORMES,MEGAPODIIDAE,Talegalla,Talegalla cuvieri,"Red-billed Brushturkey, Red-billed Brush-turkey",,,McGowan 2010
119,Birds,GALLIFORMES,MEGAPODIIDAE,Talegalla,Talegalla fuscirostris,"Black-billed Brushturkey, Black-billed Brush-turkey",,,McGowan 2010
120,Birds,GALLIFORMES,MEGAPODIIDAE,Talegalla,Talegalla jobiensis,"Brown-collared Brush-turkey, Collared Brushturkey",,,McGowan 2010
121,Birds,GALLIFORMES,NUMIDIDAE,Agelastes,Agelastes meleagrides,White-breasted Guineafowl,,,McGowan 2010
122,Birds,GALLIFORMES,NUMIDIDAE,Agelastes,Agelastes niger,Black Guineafowl,,,McGowan 2010
123,Birds,GALLIFORMES,NUMIDIDAE,Guttera,Guttera plumifera,Plumed Guineafowl,,,McGowan 2010
124,Birds,GALLIFORMES,NUMIDIDAE,Guttera,Guttera pucherani,Crested Guineafowl,,,McGowan 2010
125,Birds,GALLIFORMES,ODONTOPHORIDAE,Callipepla,Callipepla californica,California Quail,,,McGowan 2010
126,Birds,GALLIFORMES,ODONTOPHORIDAE,Callipepla,Callipepla douglasii,Elegant Quail,,,McGowan 2010
127,Birds,GALLIFORMES,ODONTOPHORIDAE,Callipepla,Callipepla gambelii,Gambel's Quail,,,McGowan 2010
128,Birds,GALLIFORMES,ODONTOPHORIDAE,Callipepla,Callipepla squamata,Scaled Quail,,,McGowan 2010
129,Birds,GALLIFORMES,ODONTOPHORIDAE,Colinus,Colinus cristatus,Crested Bobwhite,,,McGowan 2010
130,Birds,GALLIFORMES,ODONTOPHORIDAE,Colinus,Colinus nigrogularis,"Black-throated Bobwhite, Yucatan Bobwhite",,,McGowan 2010
131,Birds,GALLIFORMES,ODONTOPHORIDAE,Colinus,Colinus virginianus,"Bobwhite, Bobwhite Quail, Northern Bobwhite",,,McGowan 2010
132,Birds,GALLIFORMES,ODONTOPHORIDAE,Cyrtonyx,Cyrtonyx montezumae,Montezuma Quail,,,McGowan 2010
133,Birds,GALLIFORMES,ODONTOPHORIDAE,Cyrtonyx,Cyrtonyx ocellatus,Ocellated Quail,,,McGowan 2010
134,Birds,GALLIFORMES,ODONTOPHORIDAE,Dactylortyx,Dactylortyx thoracicus,Singing Quail,,,McGowan 2010
135,Birds,GALLIFORMES,ODONTOPHORIDAE,Dendrortyx,Dendrortyx barbatus,"Bearded Wood-partridge, Bearded Wood Partridge, Bearded Wood-Partridge",,,McGowan 2010
136,Birds,GALLIFORMES,ODONTOPHORIDAE,Dendrortyx,Dendrortyx leucophrys,"Buffy-crowned Wood-partridge, Buffy-crowned Wood Partridge, Buffy-crowned Wood-Partridge",,,McGowan 2010
137,Birds,GALLIFORMES,ODONTOPHORIDAE,Dendrortyx,Dendrortyx macroura,"Long-tailed Wood-partridge, Long-tailed Wood Partridge, Long-tailed Wood-Partridge",,,McGowan 2010
138,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus atrifrons,"Black-fronted Wood-quail, Black-fronted Wood Quail, Black-fronted Wood-Quail",,,McGowan 2010
139,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus balliviani,"Stripe-faced Wood-quail, Stripe-faced Wood Quail, Stripe-faced Wood-Quail",,,McGowan 2010
140,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus capueira,"Spot-winged Wood-quail, Spot-winged Wood Quail, Spot-winged Wood-Quail",,,McGowan 2010
141,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus columbianus,"Venezuelan Wood-quail, Venezuelan Wood Quail, Venezuelan Wood-Quail",,,McGowan 2010
142,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus dialeucos,"Tacarcuna Wood-quail, Tacarcuna Wood Quail, Tacarcuna Wood-Quail",,,McGowan 2010
143,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus erythrops,"Rufous-fronted Wood-quail, Rufous-fronted Wood Quail, Rufous-fronted Wood-Quail",,,McGowan 2010
144,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus gujanensis,"Marbled Wood-quail, Marbled Wood Quail, Marbled Wood-Quail",,,McGowan 2010
145,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus guttatus,"Spotted Wood-quail, Spotted Wood Quail, Spotted Wood-Quail",,,McGowan 2010
146,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus hyperythrus,"Chestnut Wood-quail, Chestnut Wood Quail, Chestnut Wood-Quail",,,McGowan 2010
147,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus leucolaemus,"Black-breasted Wood-quail, Black-breasted Wood Quail, Black-breasted Wood-Quail",,,McGowan 2010
148,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus melanonotus,"Dark-backed Wood-quail, Dark-backed Wood Quail, Dark-backed Wood-Quail",,,McGowan 2010
149,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus melanotis,"Black-eared Wood-quail, Black-eared Wood Quail, Black-eared Wood-Quail",,,McGowan 2010
150,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus speciosus,"Rufous-breasted Wood-quail, Rufous-breasted Wood Quail, Rufous-breasted Wood-Quail",,,McGowan 2010
151,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus stellatus,"Starred Wood-quail, Starred Wood Quail, Starred Wood-Quail",,,McGowan 2010
152,Birds,GALLIFORMES,ODONTOPHORIDAE,Odontophorus,Odontophorus strophium,"Gorgeted Wood-quail, Gorgeted Wood Quail, Gorgeted Wood-Quail",,,McGowan 2010
153,Birds,GALLIFORMES,ODONTOPHORIDAE,Oreortyx,Oreortyx pictus,Mountain Quail,,,McGowan 2010
154,Birds,GALLIFORMES,ODONTOPHORIDAE,Philortyx,Philortyx fasciatus,Banded Quail,,,McGowan 2010
155,Birds,GALLIFORMES,ODONTOPHORIDAE,Rhynchortyx,Rhynchortyx cinctus,Tawny-faced Quail,,,McGowan 2010
156,Birds,Galliformes,Phasianidae,Acryllium,Acryllium vulturinum,Vulturine Guineafowl,,,FAO World Watch List 
157,Birds,Galliformes,Phasianidae,Afropavo,Afropavo congensis,"Congo Peacock, Congo Peafowl",,,McGowan 2010
158,Birds,Galliformes,Phasianidae,Alectoris,Alectoris barbara,Barbary Partridge,,,McGowan 2010
159,Birds,Galliformes,Phasianidae,Alectoris,Alectoris chukar,"Chuckar, Chukar, Chukar Partridge",,,McGowan 2010
160,Birds,Galliformes,Phasianidae,Alectoris,Alectoris graeca,Rock Partridge,,,McGowan 2010
161,Birds,Galliformes,Phasianidae,Alectoris,Alectoris magna,"Przevalski's Partridge, Rusty-necklaced Partridge",,,McGowan 2010
162,Birds,Galliformes,Phasianidae,Alectoris,Alectoris melanocephala,"Arabian Partridge, Arabian Red-legged Partridge",,,McGowan 2010
163,Birds,Galliformes,Phasianidae,Alectoris,Alectoris philbyi,"Philby's Partridge, Philby's Rock Partridge",,,McGowan 2010
164,Birds,Galliformes,Phasianidae,Alectoris,Alectoris rufa,Red-legged Partridge,,,McGowan 2010
165,Birds,Galliformes,Phasianidae,Ammoperdix,Ammoperdix griseogularis,"See-see, See-see Partridge, See-See Partridge",,,McGowan 2010
166,Birds,Galliformes,Phasianidae,Ammoperdix,Ammoperdix heyi,Sand Partridge,,,McGowan 2010
167,Birds,Galliformes,Phasianidae,Anurophasis,Anurophasis monorthonyx,"Snow Mountain Quail, Snow Mountains Quail",,,McGowan 2010
168,Birds,Galliformes,Phasianidae,Arborophila,Arborophila ardens,"Hainan Partridge, White-eared Hill-partridge, White-eared Partridge",,,McGowan 2010
169,Birds,Galliformes,Phasianidae,Arborophila,Arborophila atrogularis,White-cheeked Partridge,,,McGowan 2010
170,Birds,Galliformes,Phasianidae,Arborophila,Arborophila brunneopectus,Bar-backed Partridge,,,McGowan 2010
171,Birds,Galliformes,Phasianidae,Arborophila,Arborophila cambodiana,Chestnut-headed Partridge,,,McGowan 2010
172,Birds,Galliformes,Phasianidae,Arborophila,Arborophila campbelli,Malaysian Partridge,,,McGowan 2010
173,Birds,Galliformes,Phasianidae,Arborophila,Arborophila charltonii,"Chestnut-breasted Tree-partridge, Chestnut-necklaced Partridge, Scaly-breasted Partridge",,,McGowan 2010
174,Birds,Galliformes,Phasianidae,Arborophila,Arborophila chloropus,"Green-legged Partridge, Scaly-breasted Partridge",,,McGowan 2010
175,Birds,Galliformes,Phasianidae,Arborophila,Arborophila crudigularis,Taiwan Partridge,,,McGowan 2010
176,Birds,Galliformes,Phasianidae,Arborophila,Arborophila davidi,Orange-necked Partridge,,,McGowan 2010
177,Birds,Galliformes,Phasianidae,Arborophila,Arborophila gingica,"Rickett's Hill-partridge, White-necklaced Partridge",,,McGowan 2010
178,Birds,Galliformes,Phasianidae,Arborophila,Arborophila hyperythra,Red-breasted Partridge,,,McGowan 2010
179,Birds,Galliformes,Phasianidae,Arborophila,Arborophila javanica,Chestnut-bellied Partridge,,,McGowan 2010
180,Birds,Galliformes,Phasianidae,Arborophila,Arborophila mandellii,Chestnut-breasted Partridge,,,McGowan 2010
181,Birds,Galliformes,Phasianidae,Arborophila,Arborophila orientalis,"Grey-breasted Partridge, White-faced Partridge",,,McGowan 2010
182,Birds,Galliformes,Phasianidae,Arborophila,Arborophila rolli,Roll's Partridge,,,McGowan 2010
183,Birds,Galliformes,Phasianidae,Arborophila,Arborophila rubrirostris,Red-billed Partridge,,,McGowan 2010
184,Birds,Galliformes,Phasianidae,Arborophila,Arborophila rufipectus,Sichuan Partridge,,,McGowan 2010
185,Birds,Galliformes,Phasianidae,Arborophila,Arborophila rufogularis,Rufous-throated Partridge,,,McGowan 2010
186,Birds,Galliformes,Phasianidae,Arborophila,Arborophila sumatrana,"Grey-breasted Partridge, Sumatran Partridge",,,McGowan 2010
187,Birds,Galliformes,Phasianidae,Arborophila,Arborophila torqueola,Hill Partridge,,,McGowan 2010
188,Birds,Galliformes,Phasianidae,Argusianus,Argusianus argus,Great Argus,,,McGowan 2010
189,Birds,Galliformes,Phasianidae,Argusianus,Argusianus bipunctatus,Double-banded Argus,,,McGowan 2010
190,Birds,Galliformes,Phasianidae,Bambusicola,Bambusicola fytchii,"Mountain Bamboo-partridge, Mountain Bamboo Partridge, Mountain Bamboo-Partridge",,,McGowan 2010
191,Birds,Galliformes,Phasianidae,Bambusicola,Bambusicola thoracicus,"Chinese Bamboo-partridge, Chinese Bamboo Partridge, Chinese Bamboo-Partridge",,,McGowan 2010
192,Birds,Galliformes,Phasianidae,Bonasa,Bonasa bonasia,Hazel Grouse,,,McGowan 2010
193,Birds,Galliformes,Phasianidae,Bonasa,Bonasa sewerzowi,Chinese Grouse,,,McGowan 2010
194,Birds,Galliformes,Phasianidae,Bonasa,Bonasa umbellus,Ruffed Grouse,,,McGowan 2010
195,Birds,Galliformes,Phasianidae,Caloperdix,Caloperdix oculeus,Ferruginous Partridge,,,McGowan 2010
196,Birds,Galliformes,Phasianidae,Catreus,Catreus wallichi,"Cheer Pheasant, Chir Pheasant, Wallich's Pheasant",,,McGowan 2010
