"ID","Genus Hybrid","Genus","Species Hybrid","Species","Infraspecific Rank","Infraspecific Epithet","Cultivar","No. Locations","Crop Wild Relative","Red List","Red List 1997","CITES Appendix","CITES Last Assessed","Medicinal Distribution","Medicinal Threatened","Medicinal Cites Listed","Medicinal PartUsed","Medicinal Symptoms Treated","Medicinal Reference"
"3107","","Oncoba","","spinosa","","","","34","No","","","","","Africa","x","","","","25"
"34153","","Ononis","","arvensis","","","","21","No","","","","","Europe","","","","","21"
"34150","","Ononis","","repens","","","","20","No","","","","","Europe","","","","","21"
"34148","","Ononis","","spinosa","","","","51","No","","","","","Europe","","","","","21"
"34160","","Onopordum","","acanthium","","","","55","No","","","","","Europe","","","","","21"
"193804","","Operculina","","turpethum","","","","3","No","","","","","India","","","whole plant, root","arthritis, dropsy, gout, jaundice","12, 24"
"34191","","Ophioglossum","","reticulatum","","","","4","No","","","","","Africa","","","","","34"
"5546","","Ophiopogon","","japonicus","","","","111","No","","","","","China","","","","","22"
"34223","","Ophrys","","bombyliflora","","","","7","No","","","II","2005-01-12","France , Gibraltar , Greece , Italy , Portugal , Spain , Yugoslavia","x","Appendix II","","","13"
"34220","","Ophrys","","mammosa","","","","2","No","","","II","2005-01-12","","x","Appendix II","","","13"
"224915","","Ophrys","","sicula","","","","1","No","","","II","2005-01-12","France","x","Appendix II","","","13"
"132862","","Ophrys","","speculum","","","","5","No","","","II","2005-01-12","France , Gibraltar , Greece , Italy , Malta , Portugal , Spain , Turkey","x","Appendix II","","","13"
"34212","","Ophrys","","tenthredinifera","","","","6","No","","","II","2005-01-12","France , Gibraltar , Greece , Italy , Malta , Portugal , Spain , Turkey","x","Appendix II","","","13"
"34277","","Oplopanax","","horridus","","","","33","No","","","","","US","x","","","","17"
"3137","","Opuntia","","ficus-indica","","","","87","No","","","II","2003-02-13","Belize , Costa Rica, Cuba, Dominican Republic, Guadeloupe, Mexico , Netherlands Antilles, Nicaragua,","x","Appendix II","","","13"
"152704","","Opuntia","","monacantha","","","Variegata","1","No","","","II","2003-02-13","Argentina , Brazil , Paraguay , Uruguay","x","Appendix II","","","13"
"152727","","Orbignya","","speciosa","","","","0","No","","","","","South America","","","","","31"
"34441","","Orchis","","coriophora","","","","5","No","","","II","2005-01-12","Albania , Austria , Belgium , Bulgaria , Czech Republic, France , Germany , Greece , Hungary , Italy","x","Appendix II","","","13"
"34432","","Orchis","","italica","","","","5","No","","","II","2005-01-12","Albania , Croatia , Greece , Italy , Malta , Portugal , Spain , Turkey , Yugoslavia","x","Appendix II","","","13"
"34410","","Orchis","","laxiflora","","","","3","No","","","II","2005-01-12","Albania , Austria , Belgium , Bulgaria , Croatia , France , Germany , Greece , Hungary , Italy , Por","x","Appendix II","","","21, 13"
"34404","","Orchis","","militaris","","","","11","No","","","II","2005-01-12","Armenia , Austria , Azerbaijan , Belarus , Belgium , Bulgaria , Croatia , Czech Republic , Denmark ,","x","Appendix II","","","13"
"34431","","Orchis","","palustris","","","","3","No","","","II","2005-01-12","Sweden","x","Appendix II","","","13"
"34418","","Orchis","","provincialis","","","","4","No","","","II","2005-01-12","Albania , Bulgaria , Croatia , France , Greece , Italy , Russian Federation , Slovenia , Spain , Swi","x","Appendix II","","","13"
"34422","","Orchis","","purpurea","","","","13","No","","","II","2005-01-12","Albania , Armenia , Austria , Azerbaijan , Belgium , Bosnia and Herzegovina , Bulgaria , Croatia , C","x","Appendix II","","","13"
"34428","","Orchis","","sancta","","","","4","No","","","II","2005-01-12","Greece","x","Appendix II","","","13"
"34440","","Orchis","","simia","","","","5","No","","","II","2005-01-12","Belgium , Bosnia and Herzegovina , Bulgaria , Croatia , France , Germany , Greece , Hungary , Italy","x","Appendix II","","","13"
"14620","","Origanum","","majorana","","","","60","No","","","","","India, Europe","","","whole plant","asthma, skin diseases, common cold","12, 21"
