"cwr_id","orig_record","sp","spp","var","auth"
459,"Cucumis metuliferus E. Mey. ex Naudin","Cucumis metuliferus",,,"E. Mey. ex Naudin"
460,"Cucumis myriocarpus Naudin","Cucumis myriocarpus",,,"Naudin"
461,"Cucumis prolatior J. H. Kirkbr.","Cucumis prolatior",,,"J. H. Kirkbr."
462,"Cucumis prophetarum L.","Cucumis prophetarum",,,"L."
463,"Cucumis pubituberculatus Thulin","Cucumis pubituberculatus",,,"Thulin"
464,"Cucumis pustulatus Hook. f.","Cucumis pustulatus",,,"Hook. f."
465,"Cucumis quintanilhae R. Fern. & A. Fern.","Cucumis quintanilhae",,,"R. Fern. & A. Fern."
466,"Cucumis rigidus E. Mey. ex Sond.","Cucumis rigidus",,,"E. Mey. ex Sond."
467,"Cucumis rostratus J. H. Kirkbr.","Cucumis rostratus",,,"J. H. Kirkbr."
468,"Cucumis sacleuxii Pailleux & Bois","Cucumis sacleuxii",,,"Pailleux & Bois"
469,"Cucumis sagittatus Peyr.","Cucumis sagittatus",,,"Peyr."
470,"Cucumis sativus L.","Cucumis sativus",,,"L."
471,"Cucumis sativus L. var. sativus ","Cucumis sativus",,"sativus ","L. "
472,"Cucumis thulinianus J. H. Kirkbr.","Cucumis thulinianus",,,"J. H. Kirkbr."
473,"Cucumis zeyheri Sond.","Cucumis zeyheri",,,"Sond."
474,"Cucurbita argyrosperma Huber","Cucurbita argyrosperma",,,"Huber"
475,"Cucurbita ecuadorensis Cutler & Whitaker","Cucurbita ecuadorensis",,,"Cutler & Whitaker"
476,"Cucurbita foetidissima Kunth","Cucurbita foetidissima",,,"Kunth"
477,"Cucurbita maxima Duchesne","Cucurbita maxima",,,"Duchesne"
478,"Cucurbita maxima subsp. andreana (Naudin) Filov ","Cucurbita maxima","andreana",,"(Naudin)"
479,"Cucurbita okeechobeensis (Small) L.H.Bailey","Cucurbita okeechobeensis",,,"(Small) L.H.Bailey"
480,"Cucurbita okeechobeensis subsp. martinezii (L.H.Bailey) T.C.Andres & G.P.Nabhan ex T.W.Walte.","Cucurbita okeechobeensis","martinezii",,"(L.H.Bailey)"
481,"Cucurbita pedatifolia L.H.Bailey","Cucurbita pedatifolia",,,"L.H.Bailey"
482,"Cucurbita pepo L.","Cucurbita pepo",,,"L."
483,"Cucurbita pepo subsp. fraterna (L. H. Bailey) Lira et al. ","Cucurbita pepo","fraterna",,"(L."
484,"Cucurbita pepo var. texana (Scheele) D.S.Decker","Cucurbita pepo",,"texana ","(Scheele) D.S.Decker"
485,"Cydonia oblonga Mill.","Cydonia oblonga",,,"Mill."
486,"Cynara algarbiensis Cosson","Cynara algarbiensis",,,"Cosson"
487,"Cynara baetica (Spreng.) Pau","Cynara baetica",,,"(Spreng.) Pau"
488,"Cynara cardunculus L.","Cynara cardunculus",,,"L."
489,"Cynara humilis L.","Cynara humilis",,,"L."
490,"Cynara syriaca Boiss.","Cynara syriaca",,,"Boiss."
491,"Daucus capillifolius Gilli","Daucus capillifolius",,,"Gilli"
492,"Daucus carota L. subsp. carota ","Daucus carota","carota",,"L. subsp. carota "
493,"Daucus carota subsp. azoricus Franco","Daucus carota","azoricus",,"Franco"
494,"Daucus carota subsp. cantabricus A. Pujadas","Daucus carota","cantabricus",,"A."
495,"Daucus carota subsp. commutatus (Paol.) Thell.","Daucus carota","commutatus",,"(Paol.)"
496,"Daucus carota subsp. drepanensis (Arcang.) Heywood","Daucus carota","drepanensis",,"(Arcang.)"
497,"Daucus carota subsp. fontanesii Thell.","Daucus carota","fontanesii",,"Thell."
498,"Daucus carota subsp. gadecaei (Rouy & E. G. Camus) Heywood","Daucus carota","gadecaei",,"(Rouy"
499,"Daucus carota subsp. gummifer (Syme) Hook. f.","Daucus carota","gummifer",,"(Syme)"
500,"Daucus carota subsp. halophilus (Brot.) A. Pujadas","Daucus carota","halophilus",,"(Brot.)"
501,"Daucus carota subsp. hispanicus (Gouan) Thell.","Daucus carota","hispanicus",,"(Gouan)"
502,"Daucus carota subsp. major (Vis.) Arcang.","Daucus carota","major",,"(Vis.)"
503,"Daucus carota subsp. majoricus A. Pujadas","Daucus carota","majoricus",,"A."
504,"Daucus carota subsp. maritimus (Lam.) Batt","Daucus carota","maritimus",,"(Lam.)"
505,"Daucus carota subsp. maximus (Desf.) Ball","Daucus carota","maximus",,"(Desf.)"
506,"Daucus carota subsp. parviflorus (Desf.) Thell.","Daucus carota","parviflorus",,"(Desf.)"
507,"Daucus carota subsp. rupestris (Guss.) Heywood","Daucus carota","rupestris",,"(Guss.)"
508,"Daucus syrticus Murb.","Daucus syrticus",,,"Murb."
509,"Digitaria exilis (Kippist) Stapf","Digitaria exilis",,,"(Kippist) Stapf"
510,"Dioscorea abyssinica Hochst. ex Kunth","Dioscorea abyssinica",,,"Hochst. ex Kunth"
511,"Dioscorea alata L.","Dioscorea alata",,,"L."
512,"Dioscorea brevipetiolata Prain & Burkill","Dioscorea brevipetiolata",,,"Prain & Burkill"
513,"Dioscorea bulbifera L.","Dioscorea bulbifera",,,"L."
514,"Dioscorea burkilliana J.Miﾏge","Dioscorea burkilliana",,,"J.Miﾏge"
515,"Dioscorea cayennensis Lam.","Dioscorea cayennensis",,,"Lam."
516,"Dioscorea dumetorum (Kunth) Pax","Dioscorea dumetorum",,,"(Kunth) Pax"
517,"Dioscorea esculenta (Lour.) Burkill","Dioscorea esculenta",,,"(Lour.) Burkill"
518,"Dioscorea hamiltonii Hook. f.","Dioscorea hamiltonii",,,"Hook. f."
519,"Dioscorea minutiflora Engl.","Dioscorea minutiflora",,,"Engl."
520,"Dioscorea nummularia Lam.","Dioscorea nummularia",,,"Lam."
521,"Dioscorea praehensilis Benth.","Dioscorea praehensilis",,,"Benth."
522,"Dioscorea rotundata Poir.","Dioscorea rotundata",,,"Poir."
523,"Dioscorea smilacifolia De Wild. & T.Durand","Dioscorea smilacifolia",,,"De Wild. & T.Durand"
524,"Dioscorea transversa R. Br.","Dioscorea transversa",,,"R. Br."
525,"Diplotaxis erucoides (L.) DC.","Diplotaxis erucoides",,,"(L.) DC."
526,"Diplotaxis muralis (L.) DC.","Diplotaxis muralis",,,"(L.) DC."
527,"Diplotaxis tenuifolia (L.) DC.","Diplotaxis tenuifolia",,,"(L.) DC."
528,"Echinochloa frumentacea Link","Echinochloa frumentacea",,,"Link"
529,"Elaeis guineensis Jacq.","Elaeis guineensis",,,"Jacq."
530,"Elaeis oleifera (Kunth) Cortﾎs.","Elaeis oleifera",,,"(Kunth) Cortﾎs."
531,"Elettaria cardamomum (L.) Maton","Elettaria cardamomum",,,"(L.) Maton"
532,"Eleusine africana K. OByrne","Eleusine africana",,,"K. OByrne"
533,"Eleusine coracana (L.) Gaertn.","Eleusine coracana",,,"(L.) Gaertn."
534,"Eleusine floccifolia (Forssk.) Spreng.","Eleusine floccifolia",,,"(Forssk.) Spreng."
535,"Eleusine indica (L.) Gaertn.","Eleusine indica",,,"(L.) Gaertn."
536,"Eleusine intermedia (Chiov.) S.M. Phillips","Eleusine intermedia",,,"(Chiov.) S.M. Phillips"
537,"Eleusine kigeziensis S.M. Phillips","Eleusine kigeziensis",,,"S.M. Phillips"
538,"Eleusine tristachya (Lam.) Lam.","Eleusine tristachya",,,"(Lam.) Lam."
539,"Elymus elongatus (Host) Runemark","Elymus elongatus",,,"(Host) Runemark"
540,"Elymus farctus (Viv.) Runemark ex Melderis","Elymus farctus",,,"(Viv.) Runemark ex Melderis"
541,"Elymus hispidus (Opiz) Melderis","Elymus hispidus",,,"(Opiz) Melderis"
542,"Elymus hispidus subsp. podperae (Nﾇbelek) Melderis","Elymus hispidus","podperae",,"(Nﾇbelek)"
